Program,Publisher(s),Developer(s),Oct-80,Oct-802,Nov-80,Nov-802,Dec-80,Dec-802,Jan-81,Jan-82,Feb-81,Feb-812,Mar-81,Mar-812,Apr-81,Apr-812,May-81,May-812,Jun-81,Jun-812,Jul-81,Jul-812,Aug-81,Aug-812,Sep-81,Sep-812,Oct-81,Oct-812,Nov-81,Nov-812,Dec-81,Dec-812,Jan-823,Jan-822,Feb-82,Feb-822,Mar-82,Mar-822,Apr-82,Apr-822,May-82,May-822,Jun-82,Jun-822,Jul-82,Jul-822,Aug-82,Aug-822,Sep-82,Sep-822,Oct-82,Oct-822,Nov-82,Nov-822,Dec-82,Dec-822,Jan-83,Jan-832,Feb-83,Feb-832,Mar-83,Mar-832,Apr-83,Apr-832,May-83,May-832,Jun-83,Jun-832,Jul-83,Jul-832,Aug-83,Aug-832,Sep-83,Sep-832,Oct-83,Oct-832,Nov-83,Nov-832,Dec-83,Dec-832,Jan-84,Jan-842,Feb-84,Feb-842,Mar-84,Mar-842,Apr-84,Apr-842,May-84,May-842,Jun-84,Jun-842,Jul-84,Jul-842,Aug-84,Aug-842
CCA Data Management System,Personal Software,"Ben Herman, Creative Computer Applications",41.88,14,22.04,18,40.19,5,31.71,15,18.87,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choplifter,Broderbund Software,Dan Gorlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.18,11,189.96,1,202.9,1,214.57,1,146.32,2,139.94,2,123.61,1,118.48,2,137.15,1,72.3,5,71.37,5,68.28,4,43.35,11,37.67,11,26.95,15,19.22,20,21.94,21,29.91,18,36.25,15,34.98,11,42.41,15,30.47,28,33.96,18,18.34,30,,,,
Computer Ambush,Strategic Simulations,uncredited,29.69,25,19.48,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Baseball,Strategic Simulations,"Charles Merrow, Jack T. Avery",,,,,,,,,,,,,,,,,,,,,,,29.57,22,13.14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Bismarck,Strategic Simulations,uncredited,33.44,21,27.17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Quarterback,Strategic Simulations,Dan Bunten,,,22.55,17,25.6,12,17.7,27,19.23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer SAT,Harcourt Brace Jovanovich,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.58,19,21.91,17,,,25.63,19,20.71,27,21.36,29,24.64,26,,,,,,,,,,
Copy II Plus,Central Point Software,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.17,30,,,,,,,,,,,,,,,,,,,,,,
Cosmos Mission,Astar International,uncredited,,,19.99,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creature Venture,Highlands Computer Services,"Butch Greathouse, Garry Reinhardt",,,,,,,,,,,,,,,14.89,25,18.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crisis Moutain,Synergistic Software,David H. Schroeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossfire,On-Line Systems,Jay Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,18.74,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Strike,Sirius Software,Nasir,,,,,,,49.04,6,33.12,10,14.9,18,19.17,19,21.77,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Crystal,Sierra On-Line,Roberta Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Capture 4.0,Southeastern Software,"David Hughes, George McClelland",,,,,,,,,,,,,,,,,22.03,19,15.53,26,,,,,,,,,,,,,,,,,,,,,,,14.58,30,,,20.99,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Factory,Microlab,Bill Passauer,,,17.94,28,22.32,19,38.34,10,25.99,16,12.06,26,15.12,23,,,,,,,,,,,,,,,,,,,,,,,21.58,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datestones of Ryn,Automated Simulations,uncredited,41.88,14,,,,,18.43,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David's Midnight Magic,Broderbund Software,David Snider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.77,7,45.87,10,51.96,10,23.26,24,19.64,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Master,Stoneware,"Alpine Software, Barney Stone, Stanley Crain",,,,,,,,,,,11.82,27,24.7,12,34.66,11,55.22,5,51.06,4,19.26,17,46.06,11,40.88,6,26.36,4,45.34,2,70.57,2,51.95,12,61.45,9,52.61,7,56.65,9,56.92,7,51.19,8,50.28,9,50.14,10,58,9,28.88,12,47.13,9,32.71,12,27.18,24,15.03,28,14.13,26,24.68,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dBase II,Ashton-Tate,Wayne Ratliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,27,,,,,,,,,,,,,,,,,,,,
Deadline,Infocom,uncredited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21,17,,,,,,,,,14.43,25,17.56,26,27.53,22,,,12.88,30,20.68,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death in the Caribbean,Micro Fun,"Bob Hess, Philip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,24
DiskQuik,Beagle Brothers,"Gene Hite, Harry Bruce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.74,28,13.03,29,,
Dogfight,Microlab,Bill Basham,,,,,27.68,11,42.03,8,39.17,6,20.81,10,18.07,21,14.61,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollars and Sense,Monogram,Frank E. Mullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.16,30,,,23.22,29,43.23,17,28.04,21,21.93,21,21.52,14,30.54,12
DOS 3.3,Apple Computer,uncredited,,,,,,,74.85,2,32.05,11,26.01,8,26.92,11,32.94,13,37.89,10,45.69,6,31.6,6,44.93,12,19.47,18,18.49,8,16.55,18,31.08,21,25.59,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOS Boss,Beagle Brothers,Bert Kersey,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,30,,,,,,,,,21.13,29,,,,,,,18.44,28,,,15.82,27,16.85,29,,,,,,,,,16.21,25,,,,,28.9,15,12.09,26,24.2,16,22.59,16,18.06,27,,,,,,,,,,,,,,,,,,
DOS Tool Kit,Apple Computer,uncredited,,,,,35.72,8,33.18,13,25.28,17,14.42,19,20.65,15,19.48,19,27.02,15,22.99,19,17.53,19,38.1,19,,,14.36,15,23.8,10,24.6,27,45.75,15,28.29,27,26.98,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double-Take,Beagle Brothers,Mark Simonsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.88,12,14.88,21,24.2,16,15.84,23,,,19.65,26,,,,,,,,,,,,,,,,
Dragon Fire,Level 10 Software,uncredited,,,,,,,,,,,,,,,,,,,,,,,25.59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
